medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
4004F56F4F77866DBFB567581B21A436,B7DCF80C63CB2C2AC83A6BBDE479E483,VTS,5,0,2013-01-01 1:07:00,2013-01-01 1:50:00,1,2580,11.65,-73.985992,40.722206,-74.04216,40.764366
F606ADBB4A1DE7876745919B56A7498B,CD5807110AC35C02B357C9D7A28F29CC,CMT,1,N,2013-01-01 1:10:33,2013-01-01 1:24:50,2,856,3.6,-73.863113,40.769459,-73.863113,40.769459
6CD601F956CB2A01BEE445000A50E034,F23FE2E97D33521432041E849E6D12D8,VTS,1,0,2013-01-01 1:13:00,2013-01-01 1:23:00,1,600,3.21,-73.966423,40.754017,-73.932961,40.76387
8669D9002FF4D63D433C5D9CCA710D7C,FD717A920A5125D904090815FA489598,VTS,1,0,2013-01-01 1:15:00,2013-01-01 1:57:00,5,2520,2.35,-73.964783,40.801876,-73.956032,40.821388
B4C414BA3488EBECF8A633B313A41B00,91D4623BA9C874C36974213457B4B19D,VTS,1,0,2013-01-01 1:16:00,2013-01-01 1:25:00,1,540,1.89,-74.002495,40.72506,-74.01593,40.709934
7EE820827C3806BB69720C14B64EA031,2994C8862F2484840750866ADEAFE2D6,VTS,1,0,2013-01-01 1:17:00,2013-01-01 1:30:00,5,780,6.12,-73.97654,40.75201,-74.015533,40.709824
61487CEF9292FF5349BD16EED14B8F92,9868C19F6B5AE8C61B272B34E10B6593,VTS,1,0,2013-01-01 1:19:00,2013-01-01 1:25:00,1,360,0.43,-74.00415,40.742023,-74.005669,40.743607
61D1F3B8FAF80EA035086A0D5C31F8BA,D844F3E8A886D922171BA5BED4E10CE8,VTS,4,0,2013-01-01 1:21:00,2013-01-01 1:22:00,2,60,0,-73.99366,40.724606,-73.99366,40.724606
4E7D29EFA70E1D471AEB85F153DE1554,02809483B866FF8C80E2D5D64DDA1600,VTS,1,0,2013-01-01 1:23:00,2013-01-01 1:33:00,2,600,2.33,-73.989899,40.700722,-74.003342,40.722927
A87E2C633EEB9BCF863389CCE1C6D8F9,C4797F9008D4345B41B60906F5FCD5D3,VTS,1,0,2013-01-01 1:27:00,2013-01-01 2:03:00,1,2160,7.22,-73.997154,40.721455,-73.954765,40.783707
6F8D4888EFC6C2562729EA66424028D8,743E4E318FDD1671F757957938CBCE3A,VTS,1,0,2013-01-01 1:31:00,2013-01-01 1:45:00,1,840,1.77,-73.989349,40.718884,-74.001694,40.74593
1A292EA0C31E7673162FB4147D7D086D,398C068F768D3623E091D8C4C9B2A54A,VTS,1,0,2013-01-01 1:31:00,2013-01-01 2:06:00,1,2100,6.37,-73.98159,40.742222,-73.984375,40.664116
9036E35F54F79381908BA126A118B385,FCA573D9BDC079E5BBB9235BEE5F60FF,VTS,1,0,2013-01-01 1:33:00,2013-01-01 1:48:00,3,900,4.85,-73.971069,40.675419,-73.943962,40.719624
C3C01F016F8CA8D3A34A699D93AF307C,74D1BD03A75AF44B8293DB50F6943570,VTS,1,0,2013-01-01 1:35:00,2013-01-01 1:50:00,2,900,2.66,-74.00351,40.725288,-73.978256,40.751503
4A15E823A8D4B398CFC16683EBD6956B,5352D1F7B7A41F1A189697135CEC95C5,VTS,1,0,2013-01-01 1:35:00,2013-01-01 2:05:00,1,1800,5.8,-73.962234,40.773121,-74.007141,40.710426
6AE2F34DE4DE8019C6906C61179B4865,ABCBA32F133177EEB5F4407B40FA3740,VTS,1,0,2013-01-01 1:36:00,2013-01-01 2:06:00,1,1800,13.11,-73.975174,40.735638,-73.827736,40.765816
2BD64ACE43F3E82E79AD3E3E05C9615A,CF60C9C667F9794E3DD8E6BBBCC4E2D0,CMT,1,N,2013-01-01 1:37:10,2013-01-01 1:50:25,1,795,3.6,-73.986137,40.734791,-73.993095,40.702393
