trip_ID,ID,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,duration,distance,polyline
201301001,76942C3205E17D7E7FE5A9F709D16434,2013-01-01 0:00:00,2013-01-01 0:05:00,3,-73.955925,40.781887,-73.963181,40.777832,5,0.7,"[(40.78185, -73.95584), (40.78206, -73.95569), (40.78215, -73.9559), (40.78244, -73.95659), (40.78314, -73.95825), (40.78347, -73.95901), (40.78221, -73.95992), (40.7811, -73.96073), (40.77907, -73.96222), (40.77781, -73.96313)]"
201301002,B12F855DED439EC1F9F0B8784D3B672C,2013-01-01 0:01:00,2013-01-01 0:28:00,4,-73.975647,40.760738,-74.00399,40.651306,30,11.3,"[(40.76072, -73.97561), (40.7601, -73.97606), (40.75979, -73.97628), (40.75962, -73.97587), (40.75927, -73.97504), (40.75908, -73.97461), (40.75831, -73.97277), (40.75787, -73.97174), (40.75775, -73.97147), (40.75741, -73.97063), (40.75701, -73.96966), (40.75657, -73.96862), (40.75622, -73.96779), (40.75615, -73.96761), (40.75551, -73.96806), (40.75488, -73.96852), (40.75378, -73.96932), (40.7526, -73.97017), (40.75033, -73.97184), (40.74982, -73.9722), (40.74935, -73.97107), (40.74919, -73.97069), (40.7489, -73.97002), (40.74884, -73.97001), (40.74865, -73.96958), (40.74838, -73.96895), (40.74826, -73.96867), (40.74821, -73.96858), (40.74816, -73.96853), (40.74805, -73.96848), (40.748, -73.96849), (40.74793, -73.96852), (40.74778, -73.9686), (40.74752, -73.96879), (40.74695, -73.96923), (40.74678, -73.9694), (40.74623, -73.96996), (40.74584, -73.97037), (40.74531, -73.97083), (40.7449, -73.97114), (40.74478, -73.97123), (40.74457, -73.97131), (40.74388, -73.97168), (40.74331, -73.97204), (40.74321, -73.97214), (40.74316, -73.97222), (40.74313, -73.97228), (40.74279, -73.97244), (40.74231, -73.97264), (40.74177, -73.97279), (40.74097, -73.97292), (40.74089, -73.97286), (40.74073, -73.9729), (40.7406, -73.97292), (40.74006, -73.97304), (40.73964, -73.97313), (40.73922, -73.97328), (40.7389, -73.97344), (40.73853, -73.97367), (40.73762, -73.97433), (40.73719, -73.97465), (40.73695, -73.9748), (40.7368, -73.97488), (40.73656, -73.97497), (40.73625, -73.97505), (40.73602, -73.97506), (40.73568, -73.97504), (40.73259, -73.97426), (40.73193, -73.97409), (40.73159, -73.97398), (40.73129, -73.97384), (40.73107, -73.97369), (40.73085, -73.97349), (40.73059, -73.9732), (40.73023, -73.97276), (40.73001, -73.97249), (40.7297, -73.97221), (40.72933, -73.97197), (40.72901, -73.97185), (40.72869, -73.97178), (40.72848, -73.97177), (40.72794, -73.97183), (40.72686, -73.97198), (40.72638, -73.97212), (40.72603, -73.97227), (40.72564, -73.97248), (40.72507, -73.97282), (40.72289, -73.9742), (40.72249, -73.97441), (40.72217, -73.97453), (40.72185, -73.97462), (40.72131, -73.97469), (40.7196, -73.9749), (40.71887, -73.97499), (40.71835, -73.97507), (40.71787, -73.97518), (40.71727, -73.97537), (40.71662, -73.97563), (40.71611, -73.9759), (40.71554, -73.97619), (40.71426, -73.97685), (40.71284, -73.97759), (40.71234, -73.97786), (40.71194, -73.97818), (40.71161, -73.97859), (40.71145, -73.97883), (40.71127, -73.97919), (40.71113, -73.97954), (40.71106, -73.97976), (40.71095, -73.98029), (40.71085, -73.9816), (40.71077, -73.9827), (40.71063, -73.98468), (40.71026, -73.98786), (40.71007, -73.98949), (40.70966, -73.99234), (40.70947, -73.99356), (40.70922, -73.99551), (40.709, -73.99714), (40.70889, -73.99773), (40.70878, -73.99815), (40.70867, -73.99848), (40.70862, -73.99859), (40.70857, -73.99862), (40.70849, -73.9988), (40.7083, -73.99922), (40.70769, -74.00033), (40.70733, -74.00104), (40.7072, -74.00134), (40.70689, -74.00187), (40.70622, -74.00306), (40.70592, -74.00353), (40.70513, -74.00477), (40.704, -74.00651), (40.70265, -74.00872), (40.70231, -74.00925), (40.70211, -74.00961), (40.70193, -74.01013), (40.70152, -74.01197), (40.70131, -74.0129), (40.70127, -74.0132), (40.70125, -74.01359), (40.70126, -74.01387), (40.70132, -74.01429), (40.70137, -74.01452), (40.70154, -74.01495), (40.70165, -74.01515), (40.7018, -74.01536), (40.7019, -74.01548), (40.70216, -74.0157), (40.70231, -74.01581), (40.70244, -74.01589), (40.70282, -74.01605), (40.70408, -74.01651), (40.70425, -74.01656), (40.70442, -74.01659), (40.70488, -74.0166), (40.70504, -74.01659), (40.70588, -74.01628), (40.70653, -74.01605), (40.70656, -74.01599), (40.70667, -74.01596), (40.70699, -74.01583), (40.70707, -74.0158), (40.70708, -74.01577), (40.70709, -74.01572), (40.70711, -74.01562), (40.70709, -74.01544), (40.70702, -74.01528), (40.70693, -74.01516), (40.7068, -74.01506), (40.70666, -74.015), (40.70649, -74.01498), (40.70627, -74.015), (40.7061, -74.01505), (40.70591, -74.01512), (40.70578, -74.01515), (40.70567, -74.01513), (40.70472, -74.01549), (40.70446, -74.01556), (40.70394, -74.01572), (40.70355, -74.0158), (40.70319, -74.01585), (40.70317, -74.01585), (40.70249, -74.01587), (40.70241, -74.01587), (40.70193, -74.01587), (40.70157, -74.01582), (40.70129, -74.01574), (40.70105, -74.01567), (40.70038, -74.01543), (40.69963, -74.01503), (40.69894, -74.01466), (40.69832, -74.01442), (40.69652, -74.01375), (40.69514, -74.01324), (40.6934, -74.01262), (40.69175, -74.01197), (40.69118, -74.01165), (40.69069, -74.01138), (40.69005, -74.01094), (40.68959, -74.01063), (40.68942, -74.01047), (40.68868, -74.00975), (40.68738, -74.00895), (40.68694, -74.00858), (40.68603, -74.00781), (40.68589, -74.00769), (40.68486, -74.00707), (40.68466, -74.00695), (40.68403, -74.00661), (40.68375, -74.00651), (40.68355, -74.00644), (40.68316, -74.0063), (40.6826, -74.0062), (40.68243, -74.00611), (40.68209, -74.00595), (40.68166, -74.00569), (40.68149, -74.00559), (40.68085, -74.00508), (40.67977, -74.00413), (40.67884, -74.00331), (40.67853, -74.00305), (40.67791, -74.00258), (40.67752, -74.00231), (40.67694, -74.00194), (40.67623, -74.00146), (40.67577, -74.00116), (40.67545, -74.00098), (40.6753, -74.00096), (40.67514, -74.00086), (40.67479, -74.00063), (40.67452, -74.00044), (40.67369, -73.99992), (40.672, -73.99886), (40.66941, -73.99727), (40.66845, -73.99666), (40.66812, -73.99648), (40.66761, -73.99629), (40.6674, -73.99623), (40.66717, -73.99619), (40.66686, -73.99616), (40.66658, -73.99616), (40.6662, -73.9962), (40.66592, -73.99627), (40.6656, -73.99638), (40.66543, -73.99646), (40.66505, -73.9967), (40.6648, -73.99692), (40.66459, -73.99712), (40.66415, -73.99759), (40.66356, -73.99821), (40.66257, -73.99923), (40.66026, -74.00164), (40.65745, -74.00456), (40.65498, -74.00713), (40.65473, -74.00739), (40.65433, -74.00781), (40.65432, -74.00791), (40.65425, -74.00805), (40.65422, -74.00815), (40.65421, -74.00832), (40.65422, -74.00841), (40.65461, -74.00906), (40.65519, -74.01002), (40.65541, -74.0104), (40.65529, -74.01051), (40.65519, -74.01035), (40.65508, -74.01016), (40.65459, -74.00934), (40.65414, -74.00861), (40.65353, -74.00765), (40.6532, -74.00709), (40.65202, -74.00515), (40.65132, -74.00397)]"
201301003,F7F40C52C1191D69DADEFCC314A8DA72,2013-01-01 0:02:00,2013-01-01 0:09:00,1,-73.99395,40.756634,-73.999084,40.740143,9,1.4,"[(40.75664, -73.99396), (40.75592, -73.99448), (40.75569, -73.99465), (40.75566, -73.99466), (40.75475, -73.99532), (40.75407, -73.99584), (40.75225, -73.99715), (40.75152, -73.99772), (40.75133, -73.99786), (40.75042, -73.99851), (40.74916, -73.99945), (40.74875, -73.99974), (40.74785, -74.00041), (40.74769, -74.0005), (40.74718, -74.00088), (40.74651, -74.00137), (40.74515, -74.00236), (40.74375, -74.00338), (40.74301, -74.00392), (40.74263, -74.00422), (40.74231, -74.00443), (40.74193, -74.00355), (40.7413, -74.0021), (40.74108, -74.00154), (40.74008, -73.99913)]"
201301004,2D5503BFA22EB258CAB62F31F8F98C87,2013-01-01 0:03:00,2013-01-01 0:08:00,1,-73.959091,40.780426,-73.940224,40.806355,12,2.2,"[(40.78044, -73.95912), (40.78086, -73.9588), (40.78077, -73.9586), (40.78051, -73.95798), (40.78023, -73.9573), (40.78015, -73.95711), (40.78032, -73.95697), (40.78083, -73.9566), (40.78144, -73.95614), (40.78333, -73.95478), (40.7841, -73.9542), (40.78536, -73.95328), (40.78583, -73.95294), (40.7861, -73.95357), (40.78656, -73.95466), (40.7879, -73.95368), (40.78995, -73.95216), (40.79365, -73.94949), (40.79464, -73.94875), (40.79554, -73.94809), (40.7968, -73.94717), (40.79805, -73.94628), (40.79966, -73.9451), (40.80059, -73.94442), (40.80092, -73.94417), (40.80193, -73.94345), (40.80219, -73.94324), (40.80255, -73.943), (40.80268, -73.9429), (40.80328, -73.94247), (40.80507, -73.94116), (40.80634, -73.9402)]"
201301005,9A807F33A9B6BEF955956159ADADCC22,2013-01-01 0:04:00,2013-01-01 0:16:00,1,-74.005882,40.736137,-73.992706,40.723892,11,1.3,"[(40.73614, -74.0059), (40.73656, -74.00583), (40.73668, -74.00576), (40.73679, -74.00565), (40.7369, -74.00553), (40.7368, -74.00544), (40.7367, -74.00535), (40.73658, -74.0053), (40.73598, -74.00514), (40.73473, -74.00477), (40.73438, -74.00467), (40.73376, -74.00447), (40.73324, -74.00415), (40.73207, -74.00349), (40.72999, -74.00227), (40.72965, -74.0021), (40.7296, -74.00205), (40.72919, -74.00119), (40.72799, -74.0022), (40.72762, -74.00144), (40.72689, -73.99997), (40.72549, -73.99713), (40.72542, -73.99691), (40.7252, -73.99604), (40.72509, -73.99556), (40.72502, -73.99537), (40.72499, -73.99525), (40.72485, -73.99482), (40.72464, -73.99422), (40.72432, -73.99335), (40.72413, -73.9928), (40.7241, -73.99271), (40.72392, -73.99278), (40.72391, -73.99278)]"
201301006,E661B8FDCFC87DBFC9BB6C5F9D393F69,2013-01-01 0:05:00,2013-01-01 0:13:00,1,-73.979202,40.727825,-73.971939,40.749805,9,2.0,"[(40.72783, -73.97921), (40.72875, -73.97853), (40.72943, -73.97802), (40.72923, -73.97754), (40.729, -73.97701), (40.72867, -73.97618), (40.72855, -73.97589), (40.72845, -73.97569), (40.72856, -73.97561), (40.72914, -73.97519), (40.73005, -73.97453), (40.73047, -73.97422), (40.73058, -73.97408), (40.73075, -73.97398), (40.73096, -73.97392), (40.73115, -73.97398), (40.73258, -73.97435), (40.7328, -73.97442), (40.73308, -73.97448), (40.73495, -73.97495), (40.73511, -73.97491), (40.73522, -73.97487), (40.73539, -73.97478), (40.73548, -73.97477), (40.7356, -73.97479), (40.73584, -73.97481), (40.73617, -73.97479), (40.73652, -73.97471), (40.73686, -73.97455), (40.73701, -73.97446), (40.7373, -73.97424), (40.73791, -73.97379), (40.73799, -73.97377), (40.73873, -73.97324), (40.739, -73.97307), (40.73912, -73.97306), (40.73933, -73.973), (40.73947, -73.97295), (40.73955, -73.97293), (40.73962, -73.97299), (40.73986, -73.9729), (40.74022, -73.97278), (40.74078, -73.97263), (40.74135, -73.97252), (40.74244, -73.97229), (40.74286, -73.97215), (40.74318, -73.972), (40.74348, -73.97182), (40.74407, -73.97144), (40.74427, -73.9713), (40.74436, -73.97124), (40.74439, -73.97114), (40.7444, -73.97114), (40.7447, -73.97088), (40.74485, -73.97077), (40.74515, -73.97054), (40.74636, -73.96948), (40.74786, -73.96822), (40.74799, -73.96818), (40.7481, -73.96821), (40.74817, -73.96825), (40.74823, -73.96833), (40.74854, -73.96908), (40.74891, -73.96993), (40.7489, -73.97002), (40.74919, -73.97069), (40.74935, -73.97107), (40.74974, -73.97199)]"
201301007,39EE606D64DBF47084D6A4FF34F3E5E3,2013-01-01 0:06:00,2013-01-01 0:14:00,3,-73.973831,40.760452,-73.987648,40.74979,10,1.5,"[(40.76041, -73.97386), (40.75973, -73.97226), (40.75732, -73.974), (40.7566, -73.97454), (40.75567, -73.97522), (40.75467, -73.97596), (40.75434, -73.97619), (40.75429, -73.97627), (40.75438, -73.97653), (40.75439, -73.97666), (40.75436, -73.97678), (40.75264, -73.97804), (40.75255, -73.97803), (40.75249, -73.97798), (40.75232, -73.97763), (40.75229, -73.9776), (40.75226, -73.97761), (40.75163, -73.97807), (40.75086, -73.97865), (40.75078, -73.97874), (40.75061, -73.9789), (40.74994, -73.97938), (40.74899, -73.98008), (40.74779, -73.98096), (40.74712, -73.98144), (40.74755, -73.98242), (40.74814, -73.98381), (40.74888, -73.98558), (40.74971, -73.98751), (40.74977, -73.98766)]"
201301008,B4A5FB8FDDC10749450C3D1EA6CE9277,2013-01-01 0:07:00,2013-01-01 0:15:00,2,-73.970963,40.758411,-73.980934,40.770096,10,1.4,"[(40.75842, -73.97098), (40.75839, -73.971), (40.75844, -73.97111), (40.75874, -73.97182), (40.75892, -73.97223), (40.75918, -73.97288), (40.75939, -73.97339), (40.75974, -73.97421), (40.76037, -73.97376), (40.76117, -73.97319), (40.76231, -73.97238), (40.7636, -73.97143), (40.76422, -73.97097), (40.76429, -73.9711), (40.76489, -73.9725), (40.76507, -73.97284), (40.76511, -73.97297), (40.76511, -73.97314), (40.76509, -73.97321), (40.76505, -73.97329), (40.76495, -73.97339), (40.76468, -73.97358), (40.7646, -73.97363), (40.76465, -73.97375), (40.76543, -73.97559), (40.76548, -73.97565), (40.76567, -73.97607), (40.76607, -73.97703), (40.76654, -73.97813), (40.76732, -73.98001), (40.76785, -73.98125), (40.76806, -73.9814), (40.76808, -73.9814), (40.76817, -73.98141), (40.7683, -73.9815), (40.76836, -73.98158), (40.76851, -73.98158), (40.76863, -73.98153), (40.7688, -73.9814), (40.7693, -73.98105), (40.76982, -73.98066), (40.76992, -73.98056), (40.77008, -73.98095)]"
201301009,DEF3F77B2D5B1FE8FBDBAAC7CE8B4AC9,2013-01-01 0:08:00,2013-01-01 0:12:00,1,-73.925438,40.706356,-73.926353,40.701107,4,0.5,"[(40.70633, -73.92541), (40.70594, -73.92585), (40.7057, -73.92614), (40.70566, -73.92606), (40.7053, -73.92542), (40.70515, -73.92515), (40.70487, -73.92467), (40.70483, -73.9246), (40.70425, -73.92516), (40.70306, -73.92631), (40.70234, -73.92702), (40.70176, -73.92759), (40.70108, -73.92638)]"
201301010,DD77462F710A8422651F2390198665B0,2013-01-01 0:15:00,2013-01-01 0:18:00,3,-74.008728,40.719181,-74.006409,40.733028,5,1.0,"[(40.71918, -74.00872), (40.72127, -74.00836), (40.72201, -74.00827), (40.72289, -74.00813), (40.72354, -74.00802), (40.72378, -74.00795), (40.72389, -74.00791), (40.72434, -74.00781), (40.72511, -74.00768), (40.72549, -74.00761), (40.72561, -74.00758), (40.72663, -74.0074), (40.72811, -74.00719), (40.72894, -74.00706), (40.73004, -74.00687), (40.73156, -74.00663), (40.73243, -74.00648), (40.73303, -74.00643)]"
